N size_of_a linear random
2048	8192	1	1
4096	16384	1	3
8192	32768	2	2
16384	65536	2	2
32768	131072	1	2
65536	262144	2	2
131072	524288	1	2
262144	1048576	1	4
524288	2097152	1	5
